team,year,elo,win_rate_last20,goals_scored_avg,goals_conceded_avg,matches_played,wc_win_rate,wc_appearances,squad_value,won_tournament
Uruguay,2018,1841.2017335681091,0.45,1.55,1.2,20,0.43253968253968256,46,1831552408.3575664,0
Colombia,2018,1864.2575556467543,0.35,1.3,0.9,20,0.36619718309859156,39,1897496274.9831784,0
France,2018,1952.8963678623272,0.65,2.05,0.9,20,0.5671641791044776,49,1954127393.4575915,1
Denmark,2018,1786.7190276638594,0.5,1.75,0.6,20,0.49079754601226994,39,1847301504.409144,0
Nigeria,2018,1681.849031522795,0.5,1.4,1.0,20,0.503448275862069,38,1769899349.0223784,0
Tunisia,2018,1711.6981080253308,0.4,1.35,1.25,20,0.5174825174825175,39,1694904009.203861,0
Brazil,2018,2063.2304453835677,0.8,2.2,0.25,20,0.6335877862595419,46,1909062731.7727468,0
Panama,2018,1669.3332160213595,0.3,1.1,1.2,20,0.39285714285714285,18,1723891607.2510796,0
Egypt,2018,1679.2342811790013,0.45,0.85,0.7,20,0.5371900826446281,33,1781476093.146058,0
Senegal,2018,1748.4589015092124,0.45,1.35,0.5,20,0.4583333333333333,27,1844851214.5814767,0
Costa Rica,2018,1733.5327797995344,0.35,0.95,1.2,20,0.5108695652173914,28,1666336064.2696187,0
Poland,2018,1810.9571969336498,0.55,2.05,1.15,20,0.5142857142857142,41,1760255646.1900623,0
South Korea,2018,1713.331089791141,0.3,1.25,1.35,20,0.5336538461538461,37,1835336089.9776847,0
Iran,2018,1818.1286964638916,0.65,1.6,0.55,20,0.5769230769230769,29,1837041776.5836112,0
England,2018,1932.6023896312247,0.55,1.45,0.65,20,0.5931372549019608,48,1903043682.303933,0
Germany,2018,1950.3682665271037,0.6,2.35,0.85,20,0.6933333333333334,47,1905318946.410776,0
Croatia,2018,1833.399367716346,0.55,1.4,0.75,20,0.5575221238938053,21,1884263933.254832,0
Sweden,2018,1755.2240199415087,0.45,1.7,0.85,20,0.5270935960591133,50,1779611167.0569909,0
Belgium,2018,1919.4604267501074,0.7,3.2,0.85,20,0.5369458128078818,49,1848111325.714746,0
Russia,2018,1723.783610839103,0.25,1.3,1.5,20,0.5823529411764706,37,1780188180.95491,0
Morocco,2018,1756.4639787077272,0.65,1.65,0.6,20,0.46710526315789475,39,1916292488.93281,0
Mexico,2018,1839.1262137314854,0.5,1.3,1.0,20,0.547085201793722,41,1820503942.834357,0
Argentina,2018,1938.7467008329843,0.45,1.5,1.1,20,0.5534351145038168,47,2005974864.9912755,0
Peru,2018,1889.7122849036114,0.6,1.7,0.8,20,0.27941176470588236,37,1685777247.8605657,0
Spain,2018,1985.7280274610591,0.7,3.05,0.65,20,0.6119402985074627,48,2003442756.9298823,0
Iceland,2018,1699.7260131021758,0.5,1.6,1.05,20,0.256,28,1598591898.614805,0
Serbia,2018,1733.1765025665381,0.45,1.6,1.05,20,0.5425531914893617,19,1749862336.139636,0
Portugal,2018,1900.733155923149,0.65,2.1,0.7,20,0.538860103626943,44,1914541051.7716365,0
Switzerland,2018,1855.5998348753712,0.7,1.85,0.5,20,0.45263157894736844,48,1853401064.2671475,0
Japan,2018,1731.7775858135833,0.45,1.6,1.3,20,0.56353591160221,34,1918447363.2088287,0
Saudi Arabia,2018,1646.2933927147494,0.35,1.15,1.65,20,0.5284090909090909,29,1689909014.2060752,0
Australia,2018,1761.8010204337795,0.35,1.5,1.4,20,0.5463917525773195,33,1820789700.122896,0
Uruguay,2022,1883.9638125548015,0.55,1.4,0.8,20,0.43253968253968256,46,1831552408.3575664,0
France,2022,1961.1882831435976,0.5,2.05,0.95,20,0.5671641791044776,49,1954127393.4575915,0
Denmark,2022,1908.5592884668304,0.7,2.1,0.9,20,0.49079754601226994,39,1847301504.409144,0
Ghana,2022,1644.833439533195,0.35,0.95,1.0,20,0.4789915966386555,34,1615712674.4081347,0
Tunisia,2022,1743.686992614395,0.6,1.4,0.7,20,0.5174825174825175,39,1694904009.203861,0
Qatar,2022,1738.8720575083082,0.45,1.3,1.3,20,0.4652777777777778,26,1621012194.800117,0
Brazil,2022,2081.664592475131,0.75,2.15,0.4,20,0.6335877862595419,46,1909062731.7727468,0
Senegal,2022,1735.4948698729668,0.55,1.6,0.7,20,0.4583333333333333,27,1844851214.5814767,0
Costa Rica,2022,1757.7211151766107,0.55,1.1,0.65,20,0.5108695652173914,28,1666336064.2696187,0
Poland,2022,1814.3222650286368,0.45,1.95,1.35,20,0.5142857142857142,41,1760255646.1900623,0
South Korea,2022,1844.8996162682545,0.7,2.0,0.85,20,0.5336538461538461,37,1835336089.9776847,0
Iran,2022,1839.3107188314593,0.75,1.95,0.5,20,0.5769230769230769,29,1837041776.5836112,0
England,2022,1935.7279444671426,0.55,2.45,0.75,20,0.5931372549019608,48,1903043682.303933,0
Ecuador,2022,1799.7182051378772,0.35,0.95,0.6,20,0.3435897435897436,35,1862653353.0688949,0
Germany,2022,1926.4293215909784,0.55,2.6,0.95,20,0.6933333333333334,47,1905318946.410776,0
Canada,2022,1762.190003556528,0.55,1.7,0.7,20,0.4375,17,1764245515.0683112,0
Croatia,2022,1884.007996240192,0.6,1.8,0.95,20,0.5575221238938053,21,1884263933.254832,0
United States,2022,1829.2011848241152,0.5,1.55,0.65,20,0.4715909090909091,33,1780663065.4049954,0
Belgium,2022,1941.618383399786,0.55,1.95,1.2,20,0.5369458128078818,49,1848111325.714746,0
Morocco,2022,1793.5294906157144,0.7,2.15,0.7,20,0.46710526315789475,39,1916292488.93281,0
Mexico,2022,1793.3034645226965,0.4,1.15,0.9,20,0.547085201793722,41,1820503942.834357,0
Netherlands,2022,1976.0194696885687,0.75,2.6,0.85,20,0.6218905472636815,45,1884759199.6093023,0
Wales,2022,1773.0775242070192,0.3,1.25,1.25,20,0.3402777777777778,37,1713278452.8990755,0
Argentina,2022,2040.9608718836892,0.8,2.3,0.25,20,0.5534351145038168,47,2005974864.9912755,1
Spain,2022,1984.3737309180647,0.65,2.1,0.85,20,0.6119402985074627,48,2003442756.9298823,0
Serbia,2022,1841.4765363431577,0.65,2.15,0.9,20,0.5425531914893617,19,1749862336.139636,0
Portugal,2022,1938.6871301187257,0.6,2.2,0.75,20,0.538860103626943,44,1914541051.7716365,0
Switzerland,2022,1855.8077051942355,0.4,1.4,1.2,20,0.45263157894736844,48,1853401064.2671475,0
Cameroon,2022,1679.941390731394,0.55,1.55,0.85,20,0.5075757575757576,34,1664050764.727213,0
Japan,2022,1829.2321811121396,0.6,1.6,0.6,20,0.56353591160221,34,1918447363.2088287,0
Saudi Arabia,2022,1698.7321648241195,0.3,0.6,0.65,20,0.5284090909090909,29,1689909014.2060752,0
Australia,2022,1775.3932705070156,0.65,1.75,0.6,20,0.5463917525773195,33,1820789700.122896,0
